Profile URL,Post ID,Reel URL,Likes,Comments,Replies,Raw Replies,Video Length (seconds),Post Time (EST),Month,Day of Month,Year,Cumulative Date,Day of Week,Profile URL,Reel Number,View Count,Profile URL,Followers
https://www.instagram.com/sofiepavittface/reels/,DChEuv7ux2N,https://www.instagram.com/sofiepavittface/reel/DChEuv7ux2N/,,35,2,37,29.53333333,9:54:55,November,18,2024,2024-11-18,Monday,https://www.instagram.com/sofiepavittface/reels/,4,2933,https://www.instagram.com/sofiepavittface/reels/,14366
https://www.instagram.com/sofiepavittface/reels/,DCZ5W9TS2Gy,https://www.instagram.com/sofiepavittface/reel/DCZ5W9TS2Gy/,,30,0,30,13.675101,15:03:05,November,15,2024,2024-11-15,Friday,https://www.instagram.com/sofiepavittface/reels/,5,2722,https://www.instagram.com/sofiepavittface/reels/,14366
https://www.instagram.com/sofiepavittface/reels/,DCUEXe7RvRy,https://www.instagram.com/sofiepavittface/reel/DCUEXe7RvRy/,,47,2,49,37.06666667,8:42:26,November,13,2024,2024-11-13,Wednesday,https://www.instagram.com/sofiepavittface/reels/,6,14200,https://www.instagram.com/sofiepavittface/reels/,14366
https://www.instagram.com/sofiepavittface/reels/,DCPDaeVO00-,https://www.instagram.com/sofiepavittface/reel/DCPDaeVO00-/,,48,7,55,18.299999,9:57:31,November,11,2024,2024-11-11,Monday,https://www.instagram.com/sofiepavittface/reels/,7,8278,https://www.instagram.com/sofiepavittface/reels/,14366
https://www.instagram.com/sofiepavittface/reels/,DBt3zcMxX2v,https://www.instagram.com/sofiepavittface/reel/DBt3zcMxX2v/,,41,4,45,59.63333333,13:40:36,October,29,2024,2024-10-29,Tuesday,https://www.instagram.com/sofiepavittface/reels/,8,20900,https://www.instagram.com/sofiepavittface/reels/,14366
https://www.instagram.com/sofiepavittface/reels/,DBq9-YxObuL,https://www.instagram.com/sofiepavittface/reel/DBq9-YxObuL/,,65,9,74,55.96666667,10:36:34,October,28,2024,2024-10-28,Monday,https://www.instagram.com/sofiepavittface/reels/,9,14600,https://www.instagram.com/sofiepavittface/reels/,14366
https://www.instagram.com/sofiepavittface/reels/,DBoP_pqOihd,https://www.instagram.com/sofiepavittface/reel/DBoP_pqOihd/,,35,3,38,28.280452,9:17:13,October,27,2024,2024-10-27,Sunday,https://www.instagram.com/sofiepavittface/reels/,10,6705,https://www.instagram.com/sofiepavittface/reels/,14366
https://www.instagram.com/sofiepavittface/reels/,DBjOHW5u-3H,https://www.instagram.com/sofiepavittface/reel/DBjOHW5u-3H/,,27,0,27,15.300498,10:26:32,October,25,2024,2024-10-25,Friday,https://www.instagram.com/sofiepavittface/reels/,11,5467,https://www.instagram.com/sofiepavittface/reels/,14366
https://www.instagram.com/sofiepavittface/reels/,DBeBaduuHLl,https://www.instagram.com/sofiepavittface/reel/DBeBaduuHLl/,,32,1,33,37,10:35:27,October,23,2024,2024-10-23,Wednesday,https://www.instagram.com/sofiepavittface/reels/,12,1937,https://www.instagram.com/sofiepavittface/reels/,14366
https://www.instagram.com/christine_glow/reels/,C8PZbCCupIK,https://www.instagram.com/christine_glow/reel/C8PZbCCupIK/,3284,82,12,94,55.86662417,11:02:31,June,15,2024,2024-06-15,Saturday,https://www.instagram.com/christine_glow/reels/,1,267000,https://www.instagram.com/christine_glow/reels/,58734
